number,label,url,ok,status,final_url,content_type,bytes,sha256,title,file,error
1,PyTorch 2.8 Release Blog.,https://pytorch.org/blog/pytorch-2-8/,False,,,,0,,,ref-01-pytorch-2-8-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2,"Apple reveals M3 Ultra, taking Apple silicon to a new extreme.",https://www.apple.com/newsroom/2025/03/apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme/,False,,,,0,,,ref-02-apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
3,PyTorch: Start Locally.,https://pytorch.org/get-started/locally/,False,,,,0,,,ref-03-pytorch-start-locally.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
4,PyTorch 2.12 Release Blog.,https://pytorch.org/blog/pytorch-2-12-release-blog/,False,,,,0,,,ref-04-pytorch-2-12-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
5,PyTorch 2.7 Release Blog.,https://pytorch.org/blog/pytorch-2-7/,False,,,,0,,,ref-05-pytorch-2-7-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
6,PyTorch 2.8 Release Blog.,https://pytorch.org/blog/pytorch-2-8/,False,,,,0,,,ref-06-pytorch-2-8-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
7,TPU Pricing | Google Cloud.,https://cloud.google.com/tpu/pricing,False,,,,0,,,ref-07-tpu-pricing-google-cloud.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
8,Mac Studio.,https://www.apple.com/mac-studio/,False,,,,0,,,ref-08-mac-studio.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
9,PyTorch 2.8 Release Blog.,https://pytorch.org/blog/pytorch-2-8/,False,,,,0,,,ref-09-pytorch-2-8-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
10,PyTorch 2.8 Release Blog.,https://pytorch.org/blog/pytorch-2-8/,False,,,,0,,,ref-10-pytorch-2-8-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
11,PyTorch 2.7 Release Blog.,https://pytorch.org/blog/pytorch-2-7/,False,,,,0,,,ref-11-pytorch-2-7-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
12,PyTorch 2.8 Release Blog.,https://pytorch.org/blog/pytorch-2-8/,False,,,,0,,,ref-12-pytorch-2-8-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
13,PyTorch on ROCm installation.,https://rocm.docs.amd.com/projects/install-on-linux/en/latest/install/3rd-party/pytorch-install.html,False,,,,0,,,ref-13-pytorch-on-rocm-installation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
14,Eager Mode + Compile API.,https://docs.pytorch.org/xla/master/eager_mode.html,False,,,,0,,,ref-14-eager-mode-compile-api.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
15,Enabling PyTorch on XLA Devices (e.g. Google TPU).,https://github.com/pytorch/xla,False,,,,0,,,ref-15-enabling-pytorch-on-xla-devices-e-g-google-tpu.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
16,PyTorch/XLA documentation.,https://docs.pytorch.org/xla/release/2.0/index.html,False,,,,0,,,ref-16-pytorch-xla-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
17,PyTorch 2.11 Release Blog.,https://pytorch.org/blog/pytorch-2-11-release-blog/,False,,,,0,,,ref-17-pytorch-2-11-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
18,"torch.compile on MPS progress tracker, Issue #150121.",https://github.com/pytorch/pytorch/issues/150121,False,,,,0,,,ref-18-torch-compile-on-mps-progress-tracker-issue-150121.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
19,PyTorch 2.12 Release Blog.,https://pytorch.org/blog/pytorch-2-12-release-blog/,False,,,,0,,,ref-19-pytorch-2-12-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
20,FlexAttention + FlashAttention-4: Fast and Flexible.,https://pytorch.org/blog/flexattention-flashattention-4-fast-and-flexible/,False,,,,0,,,ref-20-flexattention-flashattention-4-fast-and-flexible.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
21,FlexAttention + FlashAttention-4: Fast and Flexible.,https://pytorch.org/blog/flexattention-flashattention-4-fast-and-flexible/,False,,,,0,,,ref-21-flexattention-flashattention-4-fast-and-flexible.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
22,Enabling advanced GPU features in PyTorch - Warp Specialization.,https://pytorch.org/blog/warp-specialization/,False,,,,0,,,ref-22-enabling-advanced-gpu-features-in-pytorch-warp-specialization.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
23,Model acceleration libraries - ROCm Documentation.,https://rocm.docs.amd.com/en/latest/how-to/rocm-for-ai/inference-optimization/model-acceleration-libraries.html,False,,,,0,,,ref-23-model-acceleration-libraries-rocm-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
24,PyTorch on ROCm installation.,https://rocm.docs.amd.com/projects/install-on-linux/en/latest/install/3rd-party/pytorch-install.html,False,,,,0,,,ref-24-pytorch-on-rocm-installation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
25,Custom Kernels via Pallas.,https://docs.pytorch.org/xla/master/features/pallas.html,False,,,,0,,,ref-25-custom-kernels-via-pallas.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
26,Quantized Operations - PyTorch/XLA master documentation.,https://docs.pytorch.org/xla/master/perf/quantized_ops.html,False,,,,0,,,ref-26-quantized-operations-pytorch-xla-master-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
27,"torch.compile on MPS progress tracker, Issue #150121.",https://github.com/pytorch/pytorch/issues/150121,False,,,,0,,,ref-27-torch-compile-on-mps-progress-tracker-issue-150121.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
28,MLX README.,https://github.com/ml-explore/mlx/blob/main/README.md,False,,,,0,,,ref-28-mlx-readme.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
29,FlexAttention + FlashAttention-4: Fast and Flexible.,https://pytorch.org/blog/flexattention-flashattention-4-fast-and-flexible/,False,,,,0,,,ref-29-flexattention-flashattention-4-fast-and-flexible.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
30,MPS backend notes.,https://docs.pytorch.org/docs/stable/notes/mps.html,False,,,,0,,,ref-30-mps-backend-notes.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
31,Apple introduces M4 Pro and M4 Max.,https://www.apple.com/newsroom/2024/10/apple-introduces-m4-pro-and-m4-max/,False,,,,0,,,ref-31-apple-introduces-m4-pro-and-m4-max.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
32,PyTorch releases.,https://github.com/pytorch/pytorch/releases,False,,,,0,,,ref-32-pytorch-releases.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
33,Cloud TPU v5p.,https://docs.cloud.google.com/tpu/docs/v5p,False,,,,0,,,ref-33-cloud-tpu-v5p.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
34,NVIDIA Hopper Architecture.,https://www.nvidia.com/en-us/data-center/technologies/hopper-architecture/,False,,,,0,,,ref-34-nvidia-hopper-architecture.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
35,MPS backend notes.,https://docs.pytorch.org/docs/stable/notes/mps.html,False,,,,0,,,ref-35-mps-backend-notes.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
36,PyTorch: Start Locally.,https://pytorch.org/get-started/locally/,False,,,,0,,,ref-36-pytorch-start-locally.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
37,Nsight Systems Release Notes.,https://docs.nvidia.com/nsight-systems/ReleaseNotes/index.html,False,,,,0,,,ref-37-nsight-systems-release-notes.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
38,"Apple reveals M3 Ultra, taking Apple silicon to a new extreme.",https://www.apple.com/newsroom/2025/03/apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme/,False,,,,0,,,ref-38-apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
39,Common graph breaks - PyTorch 2.12 compiler docs.,https://docs.pytorch.org/docs/2.12/user_guide/torch_compiler/compile/programming_model.common_graph_breaks.html,False,,,,0,,,ref-39-common-graph-breaks-pytorch-2-12-compiler-docs.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
40,PyTorch on ROCm installation.,https://rocm.docs.amd.com/projects/install-on-linux/en/latest/install/3rd-party/pytorch-install.html,False,,,,0,,,ref-40-pytorch-on-rocm-installation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
41,PyTorch/XLA documentation.,https://docs.pytorch.org/xla/release/2.0/index.html,False,,,,0,,,ref-41-pytorch-xla-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
42,MPS environment variables.,https://docs.pytorch.org/docs/2.8/_sources/mps_environment_variables.md.txt,False,,,,0,,,ref-42-mps-environment-variables.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
43,Nsight Systems Release Notes.,https://docs.nvidia.com/nsight-systems/ReleaseNotes/index.html,False,,,,0,,,ref-43-nsight-systems-release-notes.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
44,"Apple reveals M3 Ultra, taking Apple silicon to a new extreme.",https://www.apple.com/newsroom/2025/03/apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme/,False,,,,0,,,ref-44-apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
45,PyTorch 2.7 Release Blog.,https://pytorch.org/blog/pytorch-2-7/,False,,,,0,,,ref-45-pytorch-2-7-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
46,PyTorch on ROCm installation.,https://rocm.docs.amd.com/projects/install-on-linux/en/latest/install/3rd-party/pytorch-install.html,False,,,,0,,,ref-46-pytorch-on-rocm-installation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
47,TPU Pricing | Google Cloud.,https://cloud.google.com/tpu/pricing,False,,,,0,,,ref-47-tpu-pricing-google-cloud.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
48,PyTorch 2.11 Release Blog.,https://pytorch.org/blog/pytorch-2-11-release-blog/,False,,,,0,,,ref-48-pytorch-2-11-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
49,PyTorch: Start Locally.,https://pytorch.org/get-started/locally/,False,,,,0,,,ref-49-pytorch-start-locally.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
50,PyTorch 2.12 Release Blog.,https://pytorch.org/blog/pytorch-2-12-release-blog/,False,,,,0,,,ref-50-pytorch-2-12-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
51,PyTorch 2.11 Release Blog.,https://pytorch.org/blog/pytorch-2-11-release-blog/,False,,,,0,,,ref-51-pytorch-2-11-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
52,PyTorch 2.7 Release Blog.,https://pytorch.org/blog/pytorch-2-7/,False,,,,0,,,ref-52-pytorch-2-7-release-blog.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
53,TPU7x (Ironwood) | Google Cloud Documentation.,https://docs.cloud.google.com/tpu/docs/tpu7x,False,,,,0,,,ref-53-tpu7x-ironwood-google-cloud-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
54,Our eighth generation TPUs: two chips for the agentic era.,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/eighth-generation-tpu-agentic-era/,False,,,,0,,,ref-54-our-eighth-generation-tpus-two-chips-for-the-agentic-era.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
55,TPU software versions | Google Cloud Documentation.,https://docs.cloud.google.com/tpu/docs/runtimes,False,,,,0,,,ref-55-tpu-software-versions-google-cloud-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
56,Tracing Time vs. Execution Time in PyTorch/XLA.,https://docs.pytorch.org/xla/master/learn/trace-vs-execution-time.html,False,,,,0,,,ref-56-tracing-time-vs-execution-time-in-pytorch-xla.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
57,MacBook Pro - Tech Specs - Apple.,https://www.apple.com/macbook-pro/specs/,False,,,,0,,,ref-57-macbook-pro-tech-specs-apple.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
58,"Apple reveals M3 Ultra, taking Apple silicon to a new extreme.",https://www.apple.com/newsroom/2025/03/apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme/,False,,,,0,,,ref-58-apple-reveals-m3-ultra-taking-apple-silicon-to-a-new-extreme.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
59,AMD Instinct MI300 Series Accelerators.,https://www.amd.com/en/products/accelerators/instinct/mi300.html,False,,,,0,,,ref-59-amd-instinct-mi300-series-accelerators.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
60,NVIDIA NVLink and NVLink Switch.,https://www.nvidia.com/en-us/data-center/nvlink/,False,,,,0,,,ref-60-nvidia-nvlink-and-nvlink-switch.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
61,TPU v6e | Google Cloud Documentation.,https://docs.cloud.google.com/tpu/docs/v6e,False,,,,0,,,ref-61-tpu-v6e-google-cloud-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
62,PyTorch on ROCm installation.,https://rocm.docs.amd.com/projects/install-on-linux/en/latest/install/3rd-party/pytorch-install.html,False,,,,0,,,ref-62-pytorch-on-rocm-installation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
63,Model acceleration libraries - ROCm Documentation.,https://rocm.docs.amd.com/en/latest/how-to/rocm-for-ai/inference-optimization/model-acceleration-libraries.html,False,,,,0,,,ref-63-model-acceleration-libraries-rocm-documentation.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
64,State of PyTorch Hardware Acceleration 2025.,https://tunguz.github.io/PyTorch_Hardware_2025/,False,,,,0,,,ref-64-state-of-pytorch-hardware-acceleration-2025.bin,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
